批判理論	批 判 理 論
永壽	永 壽
橫街窄巷	橫 街 窄 巷
倾颓	倾 颓
银鳕	银 鳕
倚马可待	倚 马 可 待
蝲蝲蛄	蝲 蝲 蛄
尖音符	尖 音 符
盖层纪	盖 层 纪
次于	次 于
窗仔簾	窗 仔 簾
松果体	松 果 体
唐州	唐 州
前邊	前 邊
踩道	踩 道
比鄰	比 鄰
洗臉	洗 臉
良种	良 种
爽適	爽 適
上半天	上 半 天
醣質新生	醣 質 新 生
羅家	羅 家
韶州	韶 州
淌游	淌 游
闭门	闭 门
山	山
清明節	清 明 節
允当	允 当
确认过眼神	确 认 过 眼 神
馬恩島	馬 恩 島
贪得无厌	贪 得 无 厌
相抱	相 抱
隐私政策	隐 私 政 策
逗点	逗 点
食下昼	食 下 昼
松蕊	松 蕊
賊市	賊 市
泡泡浴	泡 泡 浴
橡奶糖	橡 奶 糖
師尊	師 尊
熱那亞	熱 那 亞
缺员	缺 员
喪假	喪 假
書業	書 業
水鄉	水 鄉
紅菜湯	紅 菜 湯
猪手	猪 手
天門冬胺酸	天 門 冬 胺 酸
㙳坷	㙳 坷
多動	多 動
顧家店	顧 家 店
麥芽膏	麥 芽 膏
嶻	嶻
阿默斯福特	阿 默 斯 福 特
伏隔核	伏 隔 核
郫	郫
上偻	上 偻
撒謊	撒 謊
中椵	中 椵
崁	崁
窯洞	窯 洞
增強	增 強
事態	事 態
腋臭	腋 臭
扼喉抚背	扼 喉 抚 背
阿谄	阿 谄
裏家	裏 家
一度	一 度
曣	曣
聯棚	聯 棚
安保	安 保
鸭脚	鸭 脚
據實	據 實
駕船的	駕 船 的
館際	館 際
分句	分 句
床褥	床 褥
冰櫃	冰 櫃
鞋揙	鞋 揙
不留余地	不 留 余 地
座间	座 间
五陵	五 陵
嘔歌	嘔 歌
香会	香 会
上海言話	上 海 言 話
師法	師 法
偉光正	偉 光 正
铸件	铸 件
涆	涆
小資	小 資
旮	旮
白頭山	白 頭 山
尔后	尔 后
微氣候	微 氣 候
国统区	国 统 区
南侧	南 侧
大雄	大 雄
髀仔	髀 仔
臺詞	臺 詞
神彩	神 彩
现行	现 行
水产养殖	水 产 养 殖
拉把	拉 把
不到长城非好汉	不 到 长 城 非 好 汉
感謝	感 謝
不一样	不 一 样
牙針	牙 針
蘇梗	蘇 梗
洋務	洋 務
紙草	紙 草
中宣部	中 宣 部
不世	不 世
風水先	風 水 先
𬬵色	𬬵 色
停放架	停 放 架
唯心主义	唯 心 主 义
驅遣	驅 遣
駭人	駭 人
氫氧化鎂	氫 氧 化 鎂
紧缺	紧 缺
骨朵兒	骨 朵 兒
搖晃	搖 晃
我侬	我 侬
軍事家	軍 事 家
乌来	乌 来
喬苦	喬 苦
字母系統	字 母 系 統
间接经验	间 接 经 验
獎池	獎 池
男表	男 表
峱	峱
木克	木 克
浍	浍
起皺	起 皺
糍饭团	糍 饭 团
漆油	漆 油
幹撬	幹 撬
柴沟堡	柴 沟 堡
以上	以 上
紅磡	紅 磡
巴布亞	巴 布 亞
滿場	滿 場
兜率天	兜 率 天
水量	水 量
番爿	番 爿
蠟筆	蠟 筆
二甲基亚砜	二 甲 基 亚 砜
進場	進 場
后爿	后 爿
绫	绫
搜括	搜 括
民主集中制	民 主 集 中 制
乌鲁姆鲁	乌 鲁 姆 鲁
荒腔走板	荒 腔 走 板
改判	改 判
清热	清 热
脊柱側彎	脊 柱 側 彎
死病	死 病
后任	后 任
生死不明	生 死 不 明
㓼	㓼
娃媽	娃 媽
革命軍	革 命 軍
瑪麗伯勒	瑪 麗 伯 勒
横街窄巷	横 街 窄 巷
瀮	瀮
風範	風 範
工作台	工 作 台
未知數	未 知 數
苑善拿打	苑 善 拿 打
张身势	张 身 势
糢	糢
金舖	金 舖
規避	規 避
诗体学	诗 体 学
超卖	超 卖
自宫	自 宫
趁興	趁 興
閉路電視	閉 路 電 視
㛠	㛠
滿天星	滿 天 星
定计	定 计
股东	股 东
攪擾	攪 擾
尪	尪
摆平	摆 平
凱里	凱 里
齦顎音	齦 顎 音
下昼	下 昼
颗粒无收	颗 粒 无 收
不拘	不 拘
浮面	浮 面
大我	大 我
闯世界	闯 世 界
自己送上门	自 己 送 上 门
獏	獏
歇脚	歇 脚
社群	社 群
直銷	直 銷
扇叶	扇 叶
系都	系 都
收市	收 市
边患	边 患
𨋢口	𨋢 口
㞜	㞜
財團	財 團
耳柴	耳 柴
期中	期 中
真岡	真 岡
薰囝盒	薰 囝 盒
死人面	死 人 面
硬顎音	硬 顎 音
百业萧条	百 业 萧 条
大數定律	大 數 定 律
村驴	村 驴
猫婆	猫 婆
呈贡	呈 贡
不得其门而入	不 得 其 门 而 入
可蘭經	可 蘭 經
里势	里 势
散场	散 场
教職	教 職
日正当中	日 正 当 中
负评	负 评
反间计	反 间 计
日珠	日 珠
语气词	语 气 词
神經末梢	神 經 末 梢
諸娘囝	諸 娘 囝
鱼肚	鱼 肚
採信	採 信
楼底下	楼 底 下
伴奂	伴 奂
美妙	美 妙
裕廊東	裕 廊 東
均一	均 一
頭痛額熱	頭 痛 額 熱
蔽護	蔽 護
多尔衮	多 尔 衮
爛賭二	爛 賭 二
粱	粱
尼日尔	尼 日 尔
坐貨	坐 貨
偷畔	偷 畔
烟尾巴儿	烟 尾 巴 儿
二吊	二 吊
交貨	交 貨
肉食动物	肉 食 动 物
车载斗量	车 载 斗 量
南传佛教	南 传 佛 教
马润	马 润
图尔克斯坦	图 尔 克 斯 坦
籴	籴
吴越	吴 越
彪发	彪 发
接戰	接 戰
细圆	细 圆
雖遲但到	雖 遲 但 到
複鹽	複 鹽
農忙	農 忙
騭	騭
坚尼地城	坚 尼 地 城
西敏	西 敏
大道	大 道
显扬	显 扬
生命教練	生 命 教 練
冰燈	冰 燈
被单	被 单
咽鼓管	咽 鼓 管
晶状体	晶 状 体
銽	銽
喷	喷
酒測	酒 測
不管不顧	不 管 不 顧
馬拉盞	馬 拉 盞
橘	橘
賞光	賞 光
么沟	么 沟
鲥	鲥
雄黄酒	雄 黄 酒
醇類	醇 類
它们	它 们
备选	备 选
匆忙	匆 忙
蠋	蠋
決絕	決 絕
难民营	难 民 营
颔颈骨	颔 颈 骨
刀俎余生	刀 俎 余 生
额度	额 度
獅	獅
趿心	趿 心
痕量	痕 量
蛋疼	蛋 疼
反之亦然	反 之 亦 然
高楠	高 楠
浮腫	浮 腫
砻谷	砻 谷
前庭蜗神经	前 庭 蜗 神 经
國際日界線	國 際 日 界 線
安来	安 来
巨核細胞	巨 核 細 胞
画作	画 作
苛頭	苛 頭
藍客	藍 客
折旧	折 旧
阳婆	阳 婆
誅求	誅 求
輪替	輪 替
楚瑪爾河	楚 瑪 爾 河
手冊	手 冊
搶註	搶 註
麻煩	麻 煩
不列颠诸岛	不 列 颠 诸 岛
攻击	攻 击
㑤	㑤
屠房	屠 房
上供	上 供
神嬰	神 嬰
刺胞動物	刺 胞 動 物
飞散	飞 散
絲綫	絲 綫
肺氣腫	肺 氣 腫
劊	劊
板金	板 金
日頭絲	日 頭 絲
ftx	f t x
邊卡	邊 卡
珧柱	珧 柱
𱇪子	𱇪 子
老鼠仔冤	老 鼠 仔 冤
貭	貭
可不	可 不
小舅子	小 舅 子
慾念	慾 念
緲子	緲 子
黄金洞	黄 金 洞
非類	非 類
肥宅快乐饼	肥 宅 快 乐 饼
BB機	B B 機
圖靈焦油坑	圖 靈 焦 油 坑
梨花	梨 花
社會服務	社 會 服 務
多动	多 动
隑士林	隑 士 林
做鬼臉	做 鬼 臉
蚢	蚢
交歡	交 歡
華中科技大學	華 中 科 技 大 學
福地	福 地
薦褥	薦 褥
稨	稨
攃冰	攃 冰
麵包籃	麵 包 籃
核磁共振成像	核 磁 共 振 成 像
爆發	爆 發
悔過	悔 過
𪺹	𪺹
共妻	共 妻
蕞爾	蕞 爾
引颈	引 颈
水过鸭背	水 过 鸭 背
折舊	折 舊
藝品	藝 品
巧计	巧 计
莱苑	莱 苑
空城	空 城
悬念	悬 念
薩克森	薩 克 森
碗碟	碗 碟
叔胺	叔 胺
少見多怪	少 見 多 怪
兇狂	兇 狂
滴定	滴 定
马岛獴	马 岛 獴
时间胶囊	时 间 胶 囊
虮	虮
条直	条 直
孔湾	孔 湾
大英国协	大 英 国 协
不泯	不 泯
包揽词讼	包 揽 词 讼
山東半島	山 東 半 島
阳桃	阳 桃
品字插座	品 字 插 座
心電感應	心 電 感 應
背債	背 債
䶟	䶟
無底無代	無 底 無 代
藝壇	藝 壇
學科群	學 科 群
谱系	谱 系
安置費	安 置 費
絲仔襪	絲 仔 襪
荀卿	荀 卿
基辛格	基 辛 格
种族归纳	种 族 归 纳
閒時	閒 時
唱将	唱 将
都兰	都 兰
歳	歳
送审	送 审
底围	底 围
唭	唭
弘農王	弘 農 王
鬐	鬐
迎春	迎 春
刚正好	刚 正 好
坐标	坐 标
坆	坆
市长	市 长
何苦	何 苦
度針	度 針
不以为耻	不 以 为 耻
酣	酣
丰中	丰 中
心上人	心 上 人
粪扫衫	粪 扫 衫
检点	检 点
高著	高 著
輕淡	輕 淡
储存	储 存
发癫仔	发 癫 仔
征文	征 文
来苏儿	来 苏 儿
遊車河	遊 車 河
鸭角	鸭 角
加话	加 话
童話化	童 話 化
油條	油 條
肛門外括約肌	肛 門 外 括 約 肌
上唇	上 唇
嗟乎	嗟 乎
仰視	仰 視
堁	堁
岁荒	岁 荒
𫘩	𫘩
出衆	出 衆
坎卢普斯	坎 卢 普 斯
乌托邦社会主义	乌 托 邦 社 会 主 义
钲鼓	钲 鼓
淇澳岛	淇 澳 岛
缝纫	缝 纫
百页	百 页
凄楚	凄 楚
呂氏春秋	呂 氏 春 秋
驻留	驻 留
名正言順	名 正 言 順
利利索索	利 利 索 索
古惑仔	古 惑 仔
上蠟	上 蠟
饱餐一顿	饱 餐 一 顿
出版物	出 版 物
食软饭	食 软 饭
奧爾科特	奧 爾 科 特
涵盖	涵 盖
烘炉子	烘 炉 子
赧	赧
罚站	罚 站
下決心	下 決 心
劇方	劇 方
施恩	施 恩
帆柱	帆 柱
被俘	被 俘
老調重彈	老 調 重 彈
暮色	暮 色
喉結	喉 結
諰	諰
间隔	间 隔
体貌	体 貌
暖氣片	暖 氣 片
炊床	炊 床
传令	传 令
夜游子	夜 游 子
苏杭铺	苏 杭 铺
警卫	警 卫
霜櫃	霜 櫃
黛綠	黛 綠
纳霍德卡	纳 霍 德 卡
蓝莹莹	蓝 莹 莹
总谱	总 谱
乌米糜	乌 米 糜
车厘茄	车 厘 茄
崢嶸	崢 嶸
沨	沨
试用期	试 用 期
要隘	要 隘
核蛋白	核 蛋 白
郑卫之音	郑 卫 之 音
平跤底	平 跤 底
位次	位 次
满招损，谦受益	满 招 损 ， 谦 受 益
祥林嫂	祥 林 嫂
𦌽	𦌽
日间	日 间
世錦賽	世 錦 賽
穿著	穿 著
畫鼓	畫 鼓
调兵遣将	调 兵 遣 将
膀儿	膀 儿
制图学	制 图 学
高溫瑜伽	高 溫 瑜 伽
唔可以	唔 可 以
犹豫不决	犹 豫 不 决
潮曲	潮 曲
按察	按 察
见得	见 得
和尚衫	和 尚 衫
母乳喂養	母 乳 喂 養
跨文化交際	跨 文 化 交 際
莫逆之交	莫 逆 之 交
哈得孙湾	哈 得 孙 湾
蝦膎	蝦 膎
木耳菜	木 耳 菜
树桥	树 桥
摆擂	摆 擂
碧玺	碧 玺
顯目	顯 目
沾手	沾 手
綠樹成蔭	綠 樹 成 蔭
路牌	路 牌
摩洛哥	摩 洛 哥
煽暴	煽 暴
包乘	包 乘
饱学之士	饱 学 之 士
䳉	䳉
匕鑽	匕 鑽
真核细胞	真 核 细 胞
桰	桰
椅頭仔	椅 頭 仔
一家老小	一 家 老 小
嗚呼	嗚 呼
黑板揩	黑 板 揩
屋裏	屋 裏
班洪	班 洪
陸沉	陸 沉
火萤	火 萤
銀河聯邦	銀 河 聯 邦
細工	細 工
镖	镖
外国代理人	外 国 代 理 人
市儈	市 儈
布萊恩	布 萊 恩
盥洗室	盥 洗 室
發大水	發 大 水
浴疗	浴 疗
煮水	煮 水
𠀤	𠀤
馍馍	馍 馍
竹荪	竹 荪
匍伏	匍 伏
抛物面	抛 物 面
仁至義盡	仁 至 義 盡
格列吡嗪	格 列 吡 嗪
馃箅	馃 箅
骨格	骨 格
老嬤嬤	老 嬤 嬤
诘责	诘 责
沙果	沙 果
安步当车	安 步 当 车
采	采
阿婆主	阿 婆 主
䰜	䰜
使不得	使 不 得
硬怼	硬 怼
疑虑	疑 虑
榠樝	榠 樝
打瞌𥅻	打 瞌 𥅻
爥	爥
高洁	高 洁
大晟	大 晟
逃奔	逃 奔
混堂	混 堂
靜脈	靜 脈
和約	和 約
燚	燚
网纱袋	网 纱 袋
𠈶	𠈶
侯营	侯 营
帶感	帶 感
这来	这 来
合唱	合 唱
茅箭	茅 箭
营利	营 利
愿者上钩	愿 者 上 钩
生物治療	生 物 治 療
食奶	食 奶
慰諭	慰 諭
火風	火 風
通融	通 融
死忌	死 忌
改土歸流	改 土 歸 流
寝食不安	寝 食 不 安
马太福音	马 太 福 音
䲛	䲛
蝴蝶子	蝴 蝶 子
總後方	總 後 方
掉以輕心	掉 以 輕 心
有始無終	有 始 無 終
蹀血	蹀 血
物理變化	物 理 變 化
圖書館	圖 書 館
同温層	同 温 層
馬克思主義	馬 克 思 主 義
沖澡	沖 澡
轧轹	轧 轹
羅布淖爾	羅 布 淖 爾
道爾頓	道 爾 頓
住手	住 手
深澤	深 澤
鱷魚	鱷 魚
卟啉	卟 啉
华格纳	华 格 纳
么人	么 人
豐功偉業	豐 功 偉 業
祖庙	祖 庙
黃土	黃 土
塗污	塗 污
乖乖儿	乖 乖 儿
搪	搪
人情味儿	人 情 味 儿
旅	旅
戰戰兢兢	戰 戰 兢 兢
結拜弟兄	結 拜 弟 兄
條子	條 子
抚躬自问	抚 躬 自 问
去勢	去 勢
因得	因 得
內插	內 插
若無其事	若 無 其 事
㵐	㵐
故业	故 业
讀書識字	讀 書 識 字
排毒	排 毒
若望默示录	若 望 默 示 录
安县	安 县
卯眼	卯 眼
粒细胞	粒 细 胞
腳墊	腳 墊
礼经	礼 经
多虧	多 虧
九重天	九 重 天
打耳光	打 耳 光
餵料	餵 料
膘肥	膘 肥
公判	公 判
逝世	逝 世
搭針	搭 針
䰽	䰽
新新人类	新 新 人 类
俄白联盟	俄 白 联 盟
戀牀	戀 牀
四跤鱼	四 跤 鱼
䍑	䍑
敢做敢當	敢 做 敢 當
臥病在床	臥 病 在 床
亽	亽
护肤霜	护 肤 霜
颗粒	颗 粒
涼瓜	涼 瓜
开胶	开 胶
𪎣	𪎣
腳板子	腳 板 子
偺們	偺 們
閩寧	閩 寧
虗	虗
油票	油 票
大員	大 員
药剂	药 剂
俭省	俭 省
绵纱	绵 纱
領會	領 會
差額選舉	差 額 選 舉
擇食	擇 食
后汉	后 汉
野日頭吃家日頭	野 日 頭 吃 家 日 頭
椅憑	椅 憑
時母	時 母
艙口	艙 口
體無完膚	體 無 完 膚
彩色显像管	彩 色 显 像 管
偷欢	偷 欢
搶收	搶 收
腳船	腳 船
漏译	漏 译
為虎作倀	為 虎 作 倀
国民生产总值	国 民 生 产 总 值
生物工程	生 物 工 程
燈塔山	燈 塔 山
食言而肥	食 言 而 肥
娘家人	娘 家 人
费句	费 句
音感	音 感
組會	組 會
事在人為	事 在 人 為
前塵	前 塵
回游	回 游
上龛	上 龛
一夥	一 夥
珗	珗
傸	傸
细胞周期	细 胞 周 期
钩子	钩 子
沙場	沙 場
爲重	爲 重
女女	女 女
信物	信 物
卒讀	卒 讀
不饱和脂肪酸	不 饱 和 脂 肪 酸
会所	会 所
存儲器	存 儲 器
生兒	生 兒
潬	潬
權柄	權 柄
詢價	詢 價
见面会	见 面 会
似汰	似 汰
嘰	嘰
榮市	榮 市
窟	窟
新筱津	新 筱 津
替身	替 身
梨园戏	梨 园 戏
反症	反 症
打算	打 算
熏风	熏 风
循環換氣	循 環 換 氣
卵母細胞	卵 母 細 胞
扣肉	扣 肉
勿慮	勿 慮
弄醒	弄 醒
褶皺	褶 皺
殺人游戲	殺 人 游 戲
固執己見	固 執 己 見
電頭毛	電 頭 毛
後邊	後 邊
婊头	婊 头
康复	康 复
间冰期	间 冰 期
猴子	猴 子
泉溝	泉 溝
软硬兼施	软 硬 兼 施
黎黑	黎 黑
遺憾	遺 憾
代名詞	代 名 詞
碰釘子	碰 釘 子
大喊	大 喊
管樂	管 樂
纂	纂
弗拉基米尔	弗 拉 基 米 尔
甲親像	甲 親 像
硅藻土	硅 藻 土
緣投峇	緣 投 峇
巴格其	巴 格 其
前保险杠	前 保 险 杠
首烏	首 烏
獻帝	獻 帝
致敏源	致 敏 源
溫酒	溫 酒
房产	房 产
一字不易	一 字 不 易
強盜	強 盜
上缴	上 缴
日沒	日 沒
翋𦑶	翋 𦑶
圣诞快乐	圣 诞 快 乐
偽鈔	偽 鈔
義旗	義 旗
是搭	是 搭
移住	移 住
九流三教	九 流 三 教
區段	區 段
车辘	车 辘
岁时	岁 时
贵霜	贵 霜
合作无间	合 作 无 间
对冲基金	对 冲 基 金
宫古	宫 古
鹵莽	鹵 莽
鑽木取火	鑽 木 取 火
廣東閑話	廣 東 閑 話
吞拿	吞 拿
午检	午 检
懿行	懿 行
穆黑	穆 黑
心静	心 静
啞佬	啞 佬
併書	併 書
尧天	尧 天
終聲	終 聲
雇傭兵	雇 傭 兵
決口	決 口
大环内酯	大 环 内 酯
表面光	表 面 光
红瑶	红 瑶
实验室	实 验 室
候選人	候 選 人
走撞	走 撞
蚕仔树	蚕 仔 树
诊	诊
生日趴	生 日 趴
一差二悮	一 差 二 悮
外氣	外 氣
来复枪	来 复 枪
𭣇	𭣇
共洩	共 洩
牽拉	牽 拉
歸夢	歸 夢
轰轰烈烈	轰 轰 烈 烈
偷窥狂	偷 窥 狂
過載	過 載
法界	法 界
前地	前 地
困醒	困 醒
铂金	铂 金
璧还	璧 还
麻麻地	麻 麻 地
親爹	親 爹
一角鲸	一 角 鲸
岱王沟	岱 王 沟
求职面试	求 职 面 试
冥衣	冥 衣
语速	语 速
论战	论 战
今日子	今 日 子
长老宗	长 老 宗
早霞	早 霞
配体	配 体
吃风	吃 风
钦定	钦 定
这合儿	这 合 儿
思来想去	思 来 想 去
東宮	東 宮
承攬	承 攬
眼淚	眼 淚
抂	抂
败兴	败 兴
德古西加巴	德 古 西 加 巴
盡義務	盡 義 務
建交	建 交
战争舞	战 争 舞
二婚货	二 婚 货
空鐘	空 鐘
讓道	讓 道
雨傘架	雨 傘 架
貞固	貞 固
落妝	落 妝
茶芥	茶 芥
𱊱	𱊱
獸化	獸 化
碗兒	碗 兒
上镜	上 镜
牛鼻	牛 鼻
下崽	下 崽
鴨春	鴨 春
奻	奻
卯金刀	卯 金 刀
批紙	批 紙
辎	辎
地糊	地 糊
幺子	幺 子
齿龋	齿 龋
欧防风	欧 防 风
竘	竘
释放	释 放
蹁躚	蹁 躚
异丁酸	异 丁 酸
影簿	影 簿
搞頭	搞 頭
厨具	厨 具
白田	白 田
嫻靜	嫻 靜
刘家隔	刘 家 隔
冇癮	冇 癮
做風颱	做 風 颱
歹狗气	歹 狗 气
猪腩肉	猪 腩 肉
梅雨潭	梅 雨 潭
调腔	调 腔
豆腐皮兒	豆 腐 皮 兒
间歇	间 歇
电铃	电 铃
予取予求	予 取 予 求
工作許可	工 作 許 可
新巴	新 巴
描图	描 图
昆士兰果	昆 士 兰 果
啥體	啥 體
时间段	时 间 段
考问	考 问
大展鴻圖	大 展 鴻 圖
㙭	㙭
柦	柦
理货员	理 货 员
托管	托 管
閃鑠	閃 鑠
井岡山	井 岡 山
佇立	佇 立
乳哀	乳 哀
敦煌学家	敦 煌 学 家
打斋	打 斋
千言萬語	千 言 萬 語
紐扣兒	紐 扣 兒
缴跤	缴 跤
簧管	簧 管
汉子	汉 子
摄提	摄 提
法语	法 语
平均律	平 均 律
散會	散 會
武強	武 強
情歌	情 歌
打粗	打 粗
宫廷剧	宫 廷 剧
警車	警 車
黄六医生	黄 六 医 生
巧合	巧 合
陽塘	陽 塘
煙灰兒	煙 灰 兒
康腔	康 腔
母以子貴	母 以 子 貴
森然	森 然
東不拉	東 不 拉
豐樂	豐 樂
环庚烷	环 庚 烷
奏疏	奏 疏
維希	維 希
虎体猿臂	虎 体 猿 臂
销耗	销 耗
酥油茶	酥 油 茶
心潮澎湃	心 潮 澎 湃
布头	布 头
無恥讕言	無 恥 讕 言
甲冑	甲 冑
腎上腺素	腎 上 腺 素
歹毒	歹 毒
眠床头	眠 床 头
箭镞	箭 镞
拍通	拍 通
索多瑪	索 多 瑪
嚼劲	嚼 劲
进城	进 城
辞汇	辞 汇
𬱼	𬱼
悶笛	悶 笛
美術字	美 術 字
花蕊	花 蕊
魚肚白	魚 肚 白
小学	小 学
午魚	午 魚
石岡	石 岡
摩打	摩 打
隶圉	隶 圉
不怎麼	不 怎 麼
巴贝多	巴 贝 多
拜山	拜 山
大元	大 元
集释	集 释
未嘗不可	未 嘗 不 可
無須乎	無 須 乎
瘤子	瘤 子
濱松	濱 松
睃	睃
曲張	曲 張
沙坝	沙 坝
會當	會 當
振盪器	振 盪 器
猛兽	猛 兽
擬人	擬 人
嬃	嬃
蛋黄黄	蛋 黄 黄
原壄	原 壄
碎冰船	碎 冰 船
狭长	狭 长
豬八戒	豬 八 戒
圆熟	圆 熟
因為得	因 為 得
互見	互 見
长江埠	长 江 埠
白芨	白 芨
調酒	調 酒
气象图	气 象 图
单方面	单 方 面
敵國	敵 國
冰镐	冰 镐
摽笑	摽 笑
些須	些 須
東瀛	東 瀛
㑪	㑪
田裡心	田 裡 心
臭屎步	臭 屎 步
蔓草	蔓 草
昏昏欲睡	昏 昏 欲 睡
明朝會	明 朝 會
招手	招 手
圖示	圖 示
封堵	封 堵
茶乌	茶 乌
番蔥	番 蔥
蝌蚪	蝌 蚪
绮丽	绮 丽
寬帶	寬 帶
澆花	澆 花
不搂	不 搂
哑囝	哑 囝
行管令	行 管 令
阿尔泰	阿 尔 泰
阿列夫	阿 列 夫
酒禁	酒 禁
劢	劢
合歡山	合 歡 山
溫度	溫 度
哭訴	哭 訴
不順	不 順
無線電報	無 線 電 報
内幕信息	内 幕 信 息
許旺細胞	許 旺 細 胞
丝棉被	丝 棉 被
動物油	動 物 油
譓	譓
尖頭鰻	尖 頭 鰻
岒	岒
纲纪	纲 纪
囊泡	囊 泡
搜寻	搜 寻
那珂	那 珂
蠶眠	蠶 眠
躐级	躐 级
響忽雷	響 忽 雷
滑翔機	滑 翔 機
嶸	嶸
黨錮	黨 錮
界别	界 别
厄弗所书	厄 弗 所 书
專區	專 區
教權主義	教 權 主 義
环己二烯	环 己 二 烯
你們好	你 們 好
傳統	傳 統
略稱	略 稱
惩	惩
新侬爹	新 侬 爹
繩套	繩 套
国字框	国 字 框
三Q	三 Q
八分仪	八 分 仪
火母	火 母
纤维软骨	纤 维 软 骨
血脑屏障	血 脑 屏 障
增强现实	增 强 现 实
多贺城	多 贺 城
沽空機構	沽 空 機 構
餘溫	餘 溫
心计	心 计
水青冈	水 青 冈
忽悠	忽 悠
本地化	本 地 化
臭獻味	臭 獻 味
提籃	提 籃
咖喱魚蛋	咖 喱 魚 蛋
唯粉	唯 粉
不可抗拒的恩典	不 可 抗 拒 的 恩 典
观音暴	观 音 暴
胧	胧
言之無物	言 之 無 物
豢养	豢 养
闪熠	闪 熠
番鸭角	番 鸭 角
榮華	榮 華
氐惆	氐 惆
滬劇	滬 劇
叫扁	叫 扁
问句	问 句
翳腻	翳 腻
致公黨	致 公 黨
软实力	软 实 力
湧潮	湧 潮
𩗗	𩗗
特倫頓	特 倫 頓
回归热	回 归 热
米粮川	米 粮 川
烂银铠	烂 银 铠
盟軍	盟 軍
薄酥卷饼	薄 酥 卷 饼
襳	襳
四界遨	四 界 遨
接待處	接 待 處
犢子	犢 子
勝選	勝 選
停止	停 止
薩保	薩 保
叢集	叢 集
控制物質	控 制 物 質
牛河	牛 河
擺擂	擺 擂
英属维京群岛	英 属 维 京 群 岛
香港粵語	香 港 粵 語
小儿科	小 儿 科
铁槌	铁 槌
錄音帶	錄 音 帶
菸斗	菸 斗
马沙打冷	马 沙 打 冷
英伦诸岛	英 伦 诸 岛
擠出	擠 出
得隴望蜀	得 隴 望 蜀
打从	打 从
嚮壁虛造	嚮 壁 虛 造
鸭公子	鸭 公 子
保丰	保 丰
四字母詞	四 字 母 詞
覉	覉
虞	虞
人烟凑集	人 烟 凑 集
瘦子	瘦 子
大碼	大 碼
捲菸	捲 菸
短歲壽	短 歲 壽
辣媽	辣 媽
逃亡	逃 亡
蠛	蠛
澈	澈
圣德	圣 德
退伍军人	退 伍 军 人
斯加里野	斯 加 里 野
说理	说 理
食飯桌	食 飯 桌
蠟像館	蠟 像 館
撫松	撫 松
變啥魍	變 啥 魍
楳	楳
商圈	商 圈
以小見大	以 小 見 大
先頭	先 頭
劯	劯
空佬	空 佬
披风	披 风
诞辰	诞 辰
郵遞員	郵 遞 員
客家學	客 家 學
白痴	白 痴
外家亲	外 家 亲
紛擾	紛 擾
鉸刀剪	鉸 刀 剪
漁洋關	漁 洋 關
滿洲象棋	滿 洲 象 棋
师道	师 道
伴奐	伴 奐
脈象	脈 象
大元帥	大 元 帥
凿井	凿 井
晃晃	晃 晃
破格	破 格
狭叶薰衣草	狭 叶 薰 衣 草
註疏家	註 疏 家
垙	垙
國家安全	國 家 安 全
惟獨	惟 獨
雅化	雅 化
代謝物	代 謝 物
洲际	洲 际
跟蹤狂	跟 蹤 狂
細菌學	細 菌 學
洜	洜
小鸡娃	小 鸡 娃
榮民	榮 民
酒驾	酒 驾
碩士生	碩 士 生
雙黃蛋	雙 黃 蛋
裸贷	裸 贷
沉积	沉 积
欺凌	欺 凌
小麥草	小 麥 草
三唔識七	三 唔 識 七
拉力弹簧	拉 力 弹 簧
寊	寊
外部設備	外 部 設 備
名人效應	名 人 效 應
新邵	新 邵
善无	善 无
落订	落 订
千千万万	千 千 万 万
美猪	美 猪
寸耳风	寸 耳 风
浮遊	浮 遊
朝暉	朝 暉
阁子	阁 子
挞伐	挞 伐
膽悸	膽 悸
图画	图 画
磁振子	磁 振 子
莫比乌斯带	莫 比 乌 斯 带
嚮往	嚮 往
看牛伢子	看 牛 伢 子
拍電	拍 電
高位厚祿	高 位 厚 祿
溝渠	溝 渠
军兵	军 兵
查案	查 案
約見	約 見
sit堂	s i t 堂
卢布	卢 布
光学	光 学
歌手	歌 手
延命菊	延 命 菊
謹記	謹 記
硬要	硬 要
小姨妹兒	小 姨 妹 兒
擬測	擬 測
𰧻	𰧻
名誉	名 誉
雙日	雙 日
伸手不见五指	伸 手 不 见 五 指
票房毒药	票 房 毒 药
连盟	连 盟
族人	族 人
贝贝	贝 贝
残帙	残 帙
使用者方块	使 用 者 方 块
便装	便 装
鋼筋	鋼 筋
直昇機	直 昇 機
黄县	黄 县
來死	來 死
红白事	红 白 事
无克遗育	无 克 遗 育
剪蚻	剪 蚻
西烏旗	西 烏 旗
一言九鼎	一 言 九 鼎
糖粉	糖 粉
䳐	䳐
𠃏	𠃏
补骨脂	补 骨 脂
今生	今 生
报账	报 账
首都圈	首 都 圈
入肚	入 肚
繞彎子	繞 彎 子
巴拿芬	巴 拿 芬
柯利根	柯 利 根
松鱼	松 鱼
火鼠	火 鼠
十三張	十 三 張
箏	箏
破口大罵	破 口 大 罵
波棱蓋兒	波 棱 蓋 兒
紅頭嶼	紅 頭 嶼
围袋袋	围 袋 袋
鳗鲡	鳗 鲡
反狗仔	反 狗 仔
雄渾	雄 渾
后天仔	后 天 仔
阿姆河	阿 姆 河
㞩	㞩
古谚	古 谚
遞加	遞 加
